title,authors,first_year,publishers,pages,rating,popularity,availability,level,url
"Witty, Weird And Outrageous (Mysteries/Sci-Fi) (Mysteries/Sci-Fi)",Saki,2002,In Audio,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL3528791W
Beyond Sci-Fi,Khalel Dumaz,2024,HellaTek LLC,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL38039897W
Cancelled Sci Fi TV,John J. Joex,2016,Primedia eLaunch LLC,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL27111099W
Sci-Fi Shorts Anthology,Rod Castor; J. A. Taylor,2021,Independently Published,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL25926254W
Trip to the Future,Brandon Robshaw; Basic Skills Agency Staff; Sandra Woodcock,2000,Hodder Arnold H&S,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL27779344W
Sci-Fi Leaps,Fran Amado,2018,Independently Published,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL29760330W
Lowlanders Sci-Fi,Calebski Arias,2012,BookBaby,184,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL39938309W
Sci-Fi Movie Posters,Dover,2019,"Dover Publications, Incorporated",12,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL21364773W
"Masked Mayhem's Sci Fi Oh, My!",Will Meugniot,2017,Independently Published,,,2.0,Metadata Only,Beginner,https://openlibrary.org/works/OL29489398W
Sci-fi art,Alex Summersby; Steve Holland,2009,Distributed throughout the United States and Canada by HarperCollins; Collins Design,191,,12.18,Full Text Available,Beginner,https://openlibrary.org/works/OL17900669W
Miller's sci-fi & fantasy collectibles,Phil Ellis,1900,Octopus Publishing Group; Miller's,128,,14.0,Full Text Available,Beginner,https://openlibrary.org/works/OL5275283W
SCI-FI #3,Black Hare Press; D. Kershaw; Ben Thomas,2020,BlackHarePress,261,,2.06,Metadata Only,Beginner,https://openlibrary.org/works/OL24597222W
Sci-fi!,John James,1985,Hamlyn young books; Hamlyn,256,,4.02,Metadata Only,Beginner,https://openlibrary.org/works/OL19313148W
Digital Sci-Fi Art,Michael Burns,2004,Ilex; Collins Design,160,,16.2,Full Text Available,Beginner,https://openlibrary.org/works/OL263878W
VideoHound's sci-fi experience,"Schwartz, Carol A.",1997,Visible Ink Press,445,,2.0,Metadata Only,Intermediate,https://openlibrary.org/works/OL3295151W
The silver age sci-fi companion,Mike W. Barr,2007,Twomorrows Pub.,138,,4.0,Metadata Only,Beginner,https://openlibrary.org/works/OL809762W
